"text","text_raw","name","keywords","upper_text","lower_text","brackets_text","id","year","color","province","region","producer","designation","variety","country","id_conf","year_conf","color_conf","province_sim","region_sim","producer_sim","designation_sim","variety_sim","brackets_conf","upper_text_hit","lower_text_hit","brackets_text_hit","confidence","inspect","dictionary_hit","any_hit","table","file","file_id","file_number","name_id"
"CHATEAU LEOVILLE LASCASES 3 Brandes Lo) oe lL Fa ADY No","CHATEAU LEOVILLE LASCASES (St. Julien) 3 Brandes, Lo). oe lL Fa ADY No.","CHATEAU LEOVILLE LASCASES (St. Julien) 3 Brandes, Lo). oe lL Fa ADY No.","character(0)","CHATEAU LEOVILLE LASCASES","3 Brandes Lo) oe lL Fa ADY No","Saint Julien","NULL","NULL","NULL","NULL","list(region = ""Saint Julien"")","list(producer = ""Chateau Leoville Las Cases"")","Andes","NULL","France","NULL","NULL","NULL","NULL","1","0.961538461538462","0.172413793103448","NULL","NULL","producer","designation","region","NULL","producer (decent upper_text); designation (submatch lower_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_1"
"CHATEAU LYNCH BAGES","CHATEAU LYNCH BAGES (Paulllaec) ..... ...... 0 00... on AZD","CHATEAU LYNCH BAGES (Paulllaec)","character(0)","CHATEAU LYNCH BAGES","NULL","Paulllaec","NULL","NULL","NULL","NULL","NULL","list(producer = ""Chateau Lynch Bages"")","NULL","NULL","France","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","producer","NULL","NULL","NULL","NULL","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_2"
"CHATEAU PICHON LONGUEVILLE LALANDE Site le ein in eli ieiie eiiesint wie PN tr SH nD Re ead YS NE Eta inne’ Tate TF ve mp VE ai EY man iS","CHATEAU PICHON LONGUEVILLE LALANDE (Pauillac) Site le ein in eli ieiie eiiesint wie PN tr SH nD Re ead YS NE Eta inne’ Tate TF ve mp VE ai EY man iS.","CHATEAU PICHON LONGUEVILLE LALANDE (Pauillac) Site le ein in eli ieiie eiiesint wie PN tr SH nD Re ead YS NE Eta inne’ Tate TF ve mp VE ai EY man iS.","character(0)","CHATEAU PICHON LONGUEVILLE LALANDE","Site le ein in eli ieiie eiiesint wie PN tr SH nD Re ead YS NE Eta inne’ Tate TF ve mp VE ai EY man iS","Pauillac","NULL","NULL","NULL","NULL","list(region = ""Pauillac"")","Chateau Pichon Longueville","Chateau","NULL","France","NULL","NULL","NULL","NULL","1","0.764705882352941","0.205882352941177","NULL","NULL","designation","NULL","region","NULL","producer (submatch upper_text); designation (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_3"
"CHATEAU BEYCHEVELLE 18t Jullien)","CHATEAU BEYCHEVELLE 18t, Jullien). .... ... cei. 0. 0 7 Aon","CHATEAU BEYCHEVELLE 18t, Jullien)","character(0)","CHATEAU BEYCHEVELLE","18t Jullien)","NULL","NULL","NULL","NULL","NULL","NULL","list(producer = ""Chateau Beychevelle"")","NULL","NULL","France","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","producer","NULL","NULL","NULL","NULL","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_4"
"CHATEAU COS D'ESTOURNEL","CHATEAU COS D'ESTOURNEL (St. Estephe) ............. ........ = A330","CHATEAU COS D'ESTOURNEL (St. Estephe)","character(0)","CHATEAU COS D'ESTOURNEL","NULL","Saint Estephe","NULL","NULL","NULL","NULL","list(region = ""Saint Estephe"")","list(producer = ""Chateau Cos d'Estournel"")","NULL","NULL","France","NULL","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","NULL","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_5"
"CHATEAU LASCOMBES","CHATEAU LASCOMBES (Margaux) .... 5 coli anti AB)","CHATEAU LASCOMBES (Margaux)","character(0)","CHATEAU LASCOMBES","NULL","Margaux","NULL","NULL","NULL","NULL","list(region = ""Margaux"")","list(producer = ""Chateau Lascombes"")","NULL","NULL","France","NULL","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","NULL","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_6"
"CHATEAU CLOS FOURTET 8 ee Tee He Tee ee Tie Cee te eet eee Le ne ee","CHATEAU CLOS FOURTET (St. Emilion) 8 ee Tee He Tee ee Tie Cee te eet eee Le ne ee","CHATEAU CLOS FOURTET (St. Emilion) 8 ee Tee He Tee ee Tie Cee te eet eee Le ne ee","character(0)","CHATEAU CLOS FOURTET","8 ee Tee He Tee ee Tie Cee te eet eee Le ne ee","Saint Emilion","NULL","NULL","NULL","NULL","list(region = ""Saint Emilion"")","Clos Fourtet","Chateau","NULL","France","NULL","NULL","NULL","NULL","1","0.6","0.35","NULL","NULL","designation","NULL","region","NULL","producer (submatch upper_text); designation (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_7"
"CHATEAU PALMER 8 Cee 0 wie iene Ce ete Dee ele Te neti Sec eo ell al ie iniiieiie Te el ieriie ie nti ele he < %","CHATEAU PALMER (Margaux) 8 Cee 0 wie iene Ce ete Dee ele Te neti Sec eo ell al ie iniiieiie Te el ieriie ie nti ele he < %","CHATEAU PALMER (Margaux) 8 Cee 0 wie iene Ce ete Dee ele Te neti Sec eo ell al ie iniiieiie Te el ieriie ie nti ele he < %","character(0)","CHATEAU PALMER","8 Cee 0 wie iene Ce ete Dee ele Te neti Sec eo ell al ie iniiieiie Te el ieriie ie nti ele he < %","Margaux","NULL","NULL","NULL","NULL","list(region = ""Margaux"")","list(producer = ""Chateau Palmer"")","NULL","NULL","France","NULL","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","NULL","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_8"
"CHATEAU LATOUR A POMEROL","CHATEAU LATOUR-A-POMEROL (Pomerol)","CHATEAU LATOUR-A-POMEROL (Pomerol)","character(0)","CHATEAU LATOUR A POMEROL","NULL","Pomerol","NULL","NULL","NULL","NULL","list(region = ""Pomerol"")","list(producer = ""Chateau Latour a Pomerol"")","NULL","NULL","France","NULL","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","NULL","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_9"
"CHATEAU LATOUR HAUT BRION BIT eT AL IS Se Te ae","CHATEAU LATOUR HAUT BRION (Graves) BIT eT AL IS Se Te ae","CHATEAU LATOUR HAUT BRION (Graves) BIT eT AL IS Se Te ae","character(0)","CHATEAU LATOUR HAUT BRION BIT","eT AL IS Se Te ae","Graves","NULL","NULL","NULL","NULL","list(region = ""Graves"")","Chateau Latour","Chateau","NULL","France","NULL","NULL","NULL","NULL","1","0.482758620689655","0.241379310344828","NULL","NULL","designation","NULL","region","NULL","producer (submatch upper_text); designation (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_10"
